r,g,b
184,181,209
158,144,209
206,204,209
181,165,209
189,194,209
174,178,209
172,164,209
138,119,209
148,141,209
127,108,209
132,137,209
147,145,209
169,164,209
191,183,209
158,146,209
199,171,209
173,149,209
201,183,209
195,192,209
177,168,209
194,171,209
179,165,209
166,152,209
179,189,209
199,190,209
196,192,209
188,189,209
166,145,214
189,191,214
180,177,214
156,163,214
140,149,214
173,188,214
156,166,214
178,187,214
160,169,214
186,169,214
169,158,214
201,193,214
230,236,215
173,185,215
182,193,215
206,218,215
190,192,215
166,178,215
174,181,215
173,178,215
168,173,215
178,180,215
164,179,215
173,161,215
142,117,224
138,142,224
203,226,224
166,188,224
158,167,224
161,166,224
172,174,224
150,147,224
164,156,224
191,175,224
184,177,224
159,156,224
179,180,230
176,169,230
167,166,230
181,183,230
171,168,230
171,169,230
178,180,230
167,175,230
181,182,230
173,161,230
176,168,230
160,149,230
179,182,238
197,181,238
204,201,238
205,200,238
191,175,238
174,173,238
182,167,238
172,176,238
171,156,238
195,180,238
194,205,238
148,164,238
163,156,240
157,143,240
174,157,240
189,189,240
158,159,240
176,181,240
193,192,240
188,197,240
157,173,240
189,176,240
168,154,240
183,176,240
157,152,248
148,136,248
163,160,248
203,201,248
186,205,248
176,186,248
164,171,248
164,176,248
167,180,248
184,183,248
185,174,248
148,138,248
184,184,240
177,177,240
169,185,240
164,161,240
172,174,240
184,188,240
166,157,240
173,173,240
184,176,240
180,170,240
199,195,240
186,178,240
180,189,231
142,127,231
183,183,231
197,189,231
192,188,231
172,170,231
151,152,231
177,190,231
180,175,231
181,181,231
158,152,231
200,184,231
193,198,240
197,213,240
207,203,240
185,175,240
179,183,240
182,184,240
165,166,240
173,173,240
167,172,240
214,202,240
202,185,240
234,221,240
216,209,243
241,255,243
255,244,243
230,227,243
198,189,243
173,174,243
184,173,243
198,211,243
181,178,243
184,160,243
180,180,243
192,195,243
209,210,244
220,217,244
233,225,244
205,191,244
195,196,244
167,171,244
175,186,244
181,189,244
171,170,244
195,187,244
180,173,244
207,203,244
183,186,248
180,180,248
194,205,248
196,203,248
187,191,248
186,187,248
187,188,248
182,181,248
173,160,248
205,184,248
170,148,248
194,183,248
193,205,255
193,185,255
228,226,255
212,207,255
186,176,255
183,186,255
186,190,255
185,186,255
183,186,255
211,192,255
188,184,255
218,225,255
242,231,255
241,247,255
226,225,255
213,226,255
191,201,255
187,196,255
185,192,255
178,190,255
194,205,255
182,189,255
213,224,255
185,187,255
187,192,255
161,157,255
196,206,255
178,193,255
